'that', 'political' | In regular: 0 | In spam: 1
'research', 'human' | In regular: 1 | In spam: 0
'wilber', 'says' | In regular: 0 | In spam: 1
'steps', 'outside' | In regular: 0 | In spam: 1
'please', 'this' | In regular: 0 | In spam: 1
'could', 'help' | In regular: 0 | In spam: 1
'getelementbyid', 'tagname' | In regular: 0 | In spam: 1
'their', 'minds' | In regular: 0 | In spam: 1
'th', 'amsterdam' | In regular: 1 | In spam: 0
'property', 'lord' | In regular: 0 | In spam: 1
'between', '' | In regular: 0 | In spam: 1
'valuable', 'reduce' | In regular: 0 | In spam: 1
'software', 'arrowon' | In regular: 0 | In spam: 1
'gwnlphilipscom', 'postfix' | In regular: 1 | In spam: 0
'useragentoe', '' | In regular: 2 | In spam: 2
'have', 'agreed' | In regular: 1 | In spam: 0
'search', 'sorting' | In regular: 1 | In spam: 0
'described', 'wednesdays' | In regular: 1 | In spam: 0
'univ', 'tuebingen' | In regular: 1 | In spam: 0
'register', 'that' | In regular: 0 | In spam: 1
'with', 'esmtp' | In regular: 38 | In spam: 14
'pharrm', 'ceentral' | In regular: 0 | In spam: 1
'avoidance', 'conditioning' | In regular: 1 | In spam: 0
'letter', 'from' | In regular: 0 | In spam: 2
'document', 'this' | In regular: 0 | In spam: 5
'baehclors', 'dtctoraoe' | In regular: 0 | In spam: 1
'cases', 'described' | In regular: 1 | In spam: 0
'important', 'that' | In regular: 1 | In spam: 0
'lucio', 'noone' | In regular: 0 | In spam: 1
'indexof', 'quiz' | In regular: 0 | In spam: 1
'platinum', 'status' | In regular: 0 | In spam: 2
'your', 'many' | In regular: 0 | In spam: 1
'adapter', 'user' | In regular: 0 | In spam: 1
'dinner', 'yesterday' | In regular: 1 | In spam: 0
'brsrc', 'none' | In regular: 0 | In spam: 1
'florianbeckhotmailcom', 'mbulaclachotmailcom' | In regular: 0 | In spam: 1
'november', 'zeist' | In regular: 2 | In spam: 0
'none', 'round' | In regular: 0 | In spam: 1
'investigate', 'take' | In regular: 1 | In spam: 0
'years', 'function' | In regular: 0 | In spam: 1
'claims', 'personal' | In regular: 0 | In spam: 1
'books', 'journals' | In regular: 1 | In spam: 0
'you', 'httpwwwieeeorgorganizationsrabsecchap' | In regular: 1 | In spam: 0
'which', 'obituaries' | In regular: 0 | In spam: 1
'education', 'providers' | In regular: 1 | In spam: 0
'subscribe', 'science' | In regular: 3 | In spam: 0
'auckland', 'politics' | In regular: 0 | In spam: 1
'off', 'once' | In regular: 1 | In spam: 0
'popupclose', 'popup' | In regular: 0 | In spam: 1
'colorffffffmelonsacoustichydroxidefontpa', 'hrefhttpwwwfgdcomhhtmldelafont' | In regular: 0 | In spam: 1
'active', 'vision' | In regular: 2 | In spam: 0
'meterhigh', 'foothighfontdiv' | In regular: 1 | In spam: 0
'yes', 'check' | In regular: 0 | In spam: 1
'full', 'showers' | In regular: 0 | In spam: 1
'many', 'city' | In regular: 0 | In spam: 1
'though', 'krddartinc' | In regular: 0 | In spam: 1
'life', 'sir' | In regular: 0 | In spam: 1
'self', 'document' | In regular: 0 | In spam: 1
'opposition', 'paris' | In regular: 0 | In spam: 1
'year', 'row' | In regular: 1 | In spam: 0
'accepts', 'document' | In regular: 0 | In spam: 1
'resizefix', 'photo' | In regular: 0 | In spam: 1
'they', 'used' | In regular: 0 | In spam: 1
'they', 'news' | In regular: 0 | In spam: 1
'alert', 'sections' | In regular: 0 | In spam: 1
'renewal', 'notices' | In regular: 1 | In spam: 0
'election', 'ballots' | In regular: 3 | In spam: 0
'nations', 'advanced' | In regular: 2 | In spam: 0
'sigma', 'receptor' | In regular: 1 | In spam: 0
'lb', 'heaviest' | In regular: 0 | In spam: 1
'depression', 'guilt' | In regular: 0 | In spam: 1
'selling', 'xpos' | In regular: 0 | In spam: 1
'does', 'grip' | In regular: 1 | In spam: 0
'learned', 'motor' | In regular: 1 | In spam: 0
'univercities', 'canadian' | In regular: 0 | In spam: 1
'mean', 'offsetparent' | In regular: 0 | In spam: 1
'bimonthly', 'magazine' | In regular: 1 | In spam: 0
'try', 'platinum' | In regular: 0 | In spam: 1
'hey', 'you' | In regular: 0 | In spam: 1
'team', 'house' | In regular: 0 | In spam: 1
'boost', 'your' | In regular: 0 | In spam: 1
'pain', 'processing' | In regular: 1 | In spam: 0
'reasons', 'were' | In regular: 0 | In spam: 1
'tempest', 'past' | In regular: 0 | In spam: 1
'free', 'ieee' | In regular: 1 | In spam: 0
'tbhotmailcom', 'ralenamariehotmailcom' | In regular: 0 | In spam: 1
'right', 'decision' | In regular: 0 | In spam: 1
'rtphotmailcom', 'shunhotmailcom' | In regular: 0 | In spam: 1
'simona', 'grigorescu' | In regular: 1 | In spam: 0
'depppswrugnl', 'depppswrugnl' | In regular: 2 | In spam: 4
'please', 'family' | In regular: 0 | In spam: 1
'lipspanspan', 'clas' | In regular: 0 | In spam: 2
'your', 'friendssp' | In regular: 0 | In spam: 2
'usually', 'store' | In regular: 1 | In spam: 0
'friday', 'there' | In regular: 0 | In spam: 1
'', 'network' | In regular: 0 | In spam: 1
'this', 'mayor' | In regular: 0 | In spam: 1
'heightd', 'borderdatdtrtabletdtr' | In regular: 0 | In spam: 2
'ceasefire', 'then' | In regular: 0 | In spam: 1
'back', 'guaranteed' | In regular: 0 | In spam: 1
'soldiers', 'forces' | In regular: 0 | In spam: 1
'past', 'writer' | In regular: 0 | In spam: 1
'ferrell', 'aabjxaryahoocom' | In regular: 0 | In spam: 2
'couldnt', 'yet' | In regular: 0 | In spam: 1
'menubar', 'since' | In regular: 0 | In spam: 1
'bayes', 'group' | In regular: 1 | In spam: 0
'make', 'coast' | In regular: 0 | In spam: 1
'baklihotmailcom', 'aokadhotmailcom' | In regular: 0 | In spam: 1
'home', 'tropical' | In regular: 0 | In spam: 1
'like', 'invite' | In regular: 1 | In spam: 0
'limbaugh', 'overall' | In regular: 0 | In spam: 1
'function', 'interest' | In regular: 0 | In spam: 1
'innerhtml', 'also' | In regular: 0 | In spam: 1
'retail', 'sales' | In regular: 0 | In spam: 1
'tools', 'lowest' | In regular: 0 | In spam: 1
'conference', 'conferenceinmeetcom' | In regular: 1 | In spam: 0
'anaoasishotmailcom', 'brissyboyhotmailcom' | In regular: 0 | In spam: 1
'coast', 'white' | In regular: 0 | In spam: 1
'voor', 'psychonomie' | In regular: 1 | In spam: 0
'himself', 'angrily' | In regular: 0 | In spam: 1
'inspiring', 'poeti' | In regular: 0 | In spam: 1
'sports', 'lottery' | In regular: 0 | In spam: 1
'electrodiagnostics', 'research' | In regular: 1 | In spam: 0
'', 'inrepto' | In regular: 2 | In spam: 0
'divid', 'sitesurveykey' | In regular: 0 | In spam: 1
'other', 'miami' | In regular: 0 | In spam: 1
'americas', 'extra' | In regular: 0 | In spam: 1
'amp', 'fine' | In regular: 0 | In spam: 2
'movie', 'entertainmentcy' | In regular: 0 | In spam: 1
'features', 'beginning' | In regular: 0 | In spam: 1
'again', 'denny' | In regular: 0 | In spam: 1
'colorff', 'size' | In regular: 0 | In spam: 1
'italy', 'milano' | In regular: 2 | In spam: 0
'before', 'shyly' | In regular: 0 | In spam: 1
'window', 'window' | In regular: 0 | In spam: 1
'some', 'statements' | In regular: 0 | In spam: 1
'eminy', 'lee' | In regular: 1 | In spam: 0
'bigmikehotmailcom', 'ralafuhotmailcom' | In regular: 0 | In spam: 1
'battles', 'characters' | In regular: 0 | In spam: 1
'story', 'biddy' | In regular: 0 | In spam: 1
'offered', 'newsteam' | In regular: 0 | In spam: 1
'function', 'columnists' | In regular: 0 | In spam: 1
'loff', 'newsrc' | In regular: 0 | In spam: 1
'visibility', 'requestdomain' | In regular: 0 | In spam: 1
'wintercongres', 'meer' | In regular: 1 | In spam: 0
'information', 'httpwwweurnlfggfys' | In regular: 1 | In spam: 0
'colorffffffexpletivefontbr', 'endess' | In regular: 0 | In spam: 1
'jobs', 'this' | In regular: 0 | In spam: 1
'classdwspansbrin', 'un' | In regular: 0 | In spam: 2
'from', 'quotedprintable' | In regular: 5 | In spam: 0
'state', 'font' | In regular: 0 | In spam: 1
'reflect', 'change' | In regular: 0 | In spam: 1
'city', 'rolle' | In regular: 0 | In spam: 1
'coding', 'transmission' | In regular: 1 | In spam: 0
'depended', 'styles' | In regular: 0 | In spam: 1
'inrepto', '' | In regular: 4 | In spam: 0
'document', 'browser' | In regular: 0 | In spam: 1
'record', 'board' | In regular: 0 | In spam: 1
'little', 'disapointed' | In regular: 0 | In spam: 1
'france', 'paris' | In regular: 1 | In spam: 0
'times', 'minute' | In regular: 0 | In spam: 1
'elektrofysiologie', 'beweging' | In regular: 1 | In spam: 0
'krddartord', 'while' | In regular: 0 | In spam: 1
'engineers', 'and' | In regular: 1 | In spam: 0
'arrowon', 'decoration' | In regular: 0 | In spam: 1
'ppswmerc', 'mercury' | In regular: 1 | In spam: 0
'best', 'service' | In regular: 0 | In spam: 1
'facedarial', 'sizedattempted' | In regular: 1 | In spam: 0
'', 'green' | In regular: 1 | In spam: 0
'features', 'entertainment' | In regular: 0 | In spam: 1
'colspand', 'valigndtop' | In regular: 0 | In spam: 4
'information', 'play' | In regular: 1 | In spam: 0
'your', 'clipsbg' | In regular: 0 | In spam: 1
'cleared', 'apparently' | In regular: 1 | In spam: 0
'from', 'human' | In regular: 1 | In spam: 0
'dream', 'was' | In regular: 1 | In spam: 0
'business', 'cars' | In regular: 0 | In spam: 1
'vickyaguirreshotmailcom', 'dulceshotmailcom' | In regular: 0 | In spam: 1
'only', 'three' | In regular: 0 | In spam: 2
'arabadzisz', 'gordon' | In regular: 1 | In spam: 0
'flips', 'around' | In regular: 0 | In spam: 1
'site', 'president' | In regular: 0 | In spam: 1
'irccs', 'wwwhsantaluciait' | In regular: 1 | In spam: 0
'found', 'clean' | In regular: 28 | In spam: 13
'down', 'airport' | In regular: 0 | In spam: 1
'deadlines', 'management' | In regular: 0 | In spam: 1
'take', 'through' | In regular: 0 | In spam: 1
'legacy', 'houphouet' | In regular: 0 | In spam: 1
'reasons', 'navigator' | In regular: 0 | In spam: 1
'rgcrxfhyahoocom', '' | In regular: 0 | In spam: 1
'germany', 'osnabrueck' | In regular: 1 | In spam: 0
'gappysubject', '' | In regular: 0 | In spam: 1
'hire', 'host' | In regular: 0 | In spam: 1
'else', 'only' | In regular: 0 | In spam: 1
'export', 'browsers' | In regular: 0 | In spam: 1
'rows', 'beaming' | In regular: 2 | In spam: 0
'electrical', 'electronics' | In regular: 2 | In spam: 0
'raam', 'contrast' | In regular: 0 | In spam: 1
'passages', 'struck' | In regular: 0 | In spam: 1
'forms', 'prototype' | In regular: 0 | In spam: 1
'tda', 'hrefdhttpmaimgetprettybizaimageshomephtmlvisi' | In regular: 0 | In spam: 1
'when', 'will' | In regular: 1 | In spam: 0
'showsyntax', 'function' | In regular: 0 | In spam: 1
'twos', 'either' | In regular: 0 | In spam: 1
'none', 'allegations' | In regular: 0 | In spam: 1
'peasants', 'growing' | In regular: 1 | In spam: 0
'settlements', 'informed' | In regular: 0 | In spam: 1
'businesses', 'programmes' | In regular: 0 | In spam: 1
'postfix', 'with' | In regular: 3 | In spam: 2
'table', 'document' | In regular: 0 | In spam: 1
'ctdbtn', 'display' | In regular: 0 | In spam: 1
'present', 'pregame' | In regular: 0 | In spam: 1
'during', 'syndicated' | In regular: 0 | In spam: 1
'returnpath', 'ownernewmemberboldfishieeeorg' | In regular: 1 | In spam: 0
'value', 'remove' | In regular: 0 | In spam: 1
'obliged', 'closing' | In regular: 0 | In spam: 1
'workforce', 'this' | In regular: 0 | In spam: 1
'updatelayer', 'return' | In regular: 0 | In spam: 1
'stacey', 'vaden' | In regular: 0 | In spam: 1
'mesencephalic', 'precursors' | In regular: 1 | In spam: 0
'show', 'only' | In regular: 0 | In spam: 1
'including', 'phone' | In regular: 0 | In spam: 1
'currently', 'producing' | In regular: 0 | In spam: 1
'this', 'result' | In regular: 1 | In spam: 0
'university', 'singapore' | In regular: 12 | In spam: 0
'blair', 'inframeset' | In regular: 0 | In spam: 1
'francina', 'langa' | In regular: 1 | In spam: 0
'continued', 'safe' | In regular: 2 | In spam: 0
'nataatgenairugnl', '' | In regular: 1 | In spam: 0
'load', 'splatted' | In regular: 0 | In spam: 2
'border', 'cellpadding' | In regular: 0 | In spam: 1
'brother', 'took' | In regular: 0 | In spam: 1
'this', 'calendar' | In regular: 0 | In spam: 1
'produced', 'microsoft' | In regular: 2 | In spam: 0
'network', 'adapter' | In regular: 0 | In spam: 1
'offsetheight', 'supported' | In regular: 0 | In spam: 1
'this', 'krdregistration' | In regular: 0 | In spam: 2
'chao', 'zhao' | In regular: 1 | In spam: 0
'assurance', 'guarantee' | In regular: 0 | In spam: 3
'colorffffffactuatedtacticianbreadboxfontpa', 'hrefhttpwwwtolastcomhhtmldelafont' | In regular: 0 | In spam: 1
'somewhat', 'november' | In regular: 0 | In spam: 1
'mayor', 'prototype' | In regular: 0 | In spam: 1
'turn', 'reporters' | In regular: 0 | In spam: 1
'first', 'stage' | In regular: 1 | In spam: 0
'dvds', 'illustrator' | In regular: 0 | In spam: 1
'document', 'want' | In regular: 0 | In spam: 1
'behind', 'formerfontdiv' | In regular: 1 | In spam: 0
'mykonosjpg', 'come' | In regular: 0 | In spam: 1
'elem', 'seems' | In regular: 0 | In spam: 1
'easily', 'like' | In regular: 0 | In spam: 1
'classes', 'found' | In regular: 1 | In spam: 0
'himself', 'chair' | In regular: 2 | In spam: 0
'getheight', 'boards' | In regular: 0 | In spam: 1
'sgtpgammas', 'binding' | In regular: 1 | In spam: 0
'board', 'sans' | In regular: 0 | In spam: 1
'padding', 'getelementbyid' | In regular: 0 | In spam: 1
'timeline', 'scotland' | In regular: 0 | In spam: 1
'county', 'text' | In regular: 0 | In spam: 1
'daily', 'substring' | In regular: 0 | In spam: 1
'underline', 'font' | In regular: 0 | In spam: 1
'information', 'session' | In regular: 1 | In spam: 0
'your', 'london' | In regular: 0 | In spam: 1
'older', 'sitesurveykey' | In regular: 0 | In spam: 1
'want', 'be' | In regular: 0 | In spam: 1
'lecture', 'df' | In regular: 1 | In spam: 0
'squad', 'position' | In regular: 0 | In spam: 1
'profile', 'today' | In regular: 1 | In spam: 0
'that', 'army' | In regular: 0 | In spam: 1
'alexander', 'zien' | In regular: 1 | In spam: 0
'with', 'universities' | In regular: 1 | In spam: 0
'andrea', 'straessle' | In regular: 1 | In spam: 0
'bentwillow', 'rocker' | In regular: 0 | In spam: 1
'document', 'area' | In regular: 0 | In spam: 1
'your', 'degree' | In regular: 0 | In spam: 1
'fwdmsg', '' | In regular: 2 | In spam: 0
'france', 'bordeaux' | In regular: 1 | In spam: 0
'museum', 'sign' | In regular: 1 | In spam: 0
'flyer', 'with' | In regular: 1 | In spam: 0
'getting', 'dist' | In regular: 0 | In spam: 1
'last', 'they' | In regular: 0 | In spam: 1
'card', 'with' | In regular: 0 | In spam: 1
'benefit', 'survey' | In regular: 1 | In spam: 0
'article', 'from' | In regular: 3 | In spam: 0
'saundra', 'patrick' | In regular: 1 | In spam: 0
'function', 'since' | In regular: 0 | In spam: 1
'clicking', 'note' | In regular: 1 | In spam: 0
'timeline', 'ivory' | In regular: 0 | In spam: 1
'xmailer', 'apple' | In regular: 1 | In spam: 0
'cookie', 'decoration' | In regular: 0 | In spam: 1
'professor', 'evanston' | In regular: 1 | In spam: 0
'find', 'alert' | In regular: 0 | In spam: 1
'main', 'room' | In regular: 0 | In spam: 1
'gdkpixbufgetpixels', 'mypixbuf' | In regular: 1 | In spam: 0
'only', 'beginning' | In regular: 0 | In spam: 1
'glutamate', 'ampa' | In regular: 1 | In spam: 0
'subcontract', 'some' | In regular: 0 | In spam: 1
'with', 'twist' | In regular: 0 | In spam: 1
'wallpaper', 'music' | In regular: 0 | In spam: 1
'starting', 'authors' | In regular: 0 | In spam: 1
'banacidhotmailcom', 'barry' | In regular: 0 | In spam: 1
'miss', 'prototype' | In regular: 0 | In spam: 1
'liberian', 'your' | In regular: 0 | In spam: 1
'started', 'process' | In regular: 0 | In spam: 1
'prototypereferenced', 'encoding' | In regular: 1 | In spam: 0
'prescription', 'color' | In regular: 0 | In spam: 1
'time', 'laargerr' | In regular: 0 | In spam: 1
'simonagrigorescuphilipscom', '' | In regular: 1 | In spam: 0
'biertje', 'today' | In regular: 2 | In spam: 0
'getelementbyid', 'window' | In regular: 0 | In spam: 1
'like', 'ssomee' | In regular: 0 | In spam: 1
'nssrc', 'building' | In regular: 0 | In spam: 1
'works', 'showresults' | In regular: 0 | In spam: 1
'sell', 'solicitation' | In regular: 0 | In spam: 1
'sports', 'show' | In regular: 0 | In spam: 1
'return', 'calls' | In regular: 0 | In spam: 1
'brewster', 'writes' | In regular: 0 | In spam: 1
'listarchive', 'httpwwwairugnlpipermailstaf' | In regular: 1 | In spam: 0
'position', 'parsefloat' | In regular: 0 | In spam: 1
'sort', 'that' | In regular: 1 | In spam: 0
'frame', 'this' | In regular: 0 | In spam: 1
'related', 'seydou' | In regular: 0 | In spam: 1
'also', 'machine' | In regular: 1 | In spam: 0
'details', 'owned' | In regular: 0 | In spam: 1
'less', 'time' | In regular: 0 | In spam: 1
'tags', 'background' | In regular: 0 | In spam: 1
'timetable', 'november' | In regular: 0 | In spam: 1
'free', 'vagra' | In regular: 0 | In spam: 1
'namely', 'elem' | In regular: 0 | In spam: 1
'rodriguezpallares', 'maria' | In regular: 1 | In spam: 0
'elizabeth', 'bradbury' | In regular: 1 | In spam: 0
'lookalike', 'extraction' | In regular: 0 | In spam: 1
'esmtp', 'haiagcoj' | In regular: 1 | In spam: 0
'need', 'important' | In regular: 0 | In spam: 1
'thats', 'what' | In regular: 0 | In spam: 1
'incubatedand', 'hatchlings' | In regular: 0 | In spam: 1
'caused', 'background' | In regular: 0 | In spam: 1
'visibility', 'currently' | In regular: 0 | In spam: 1
'mortgage', 'now' | In regular: 0 | In spam: 4
'indexof', 'rights' | In regular: 0 | In spam: 1
'much', 'more' | In regular: 0 | In spam: 1
'purse', 'its' | In regular: 0 | In spam: 1
'medical', 'care' | In regular: 1 | In spam: 0
'height', 'width' | In regular: 1 | In spam: 0
'anyone', 'and' | In regular: 0 | In spam: 1
'emfarmerhotmailcom', 'ooonyehotmailcom' | In regular: 0 | In spam: 1
'their', 'books' | In regular: 0 | In spam: 1
'from', 'mclk' | In regular: 0 | In spam: 1
'msie', 'forms' | In regular: 0 | In spam: 1
'merchandising', 'licensing' | In regular: 0 | In spam: 1
'image', 'processing' | In regular: 8 | In spam: 0
'name', 'curcookie' | In regular: 0 | In spam: 1
'much', 'slower' | In regular: 1 | In spam: 0
'predictability', 'alzheimers' | In regular: 1 | In spam: 0
'took', 'association' | In regular: 0 | In spam: 1
'bottom', 'stock' | In regular: 0 | In spam: 1
'brendanhotmailcom', 'chenweihotmailcom' | In regular: 0 | In spam: 1
'often', 'making' | In regular: 0 | In spam: 1
'nssrc', 'nssrc' | In regular: 0 | In spam: 1
'font', 'after' | In regular: 0 | In spam: 1
'dabellahotmailcom', 'haidarhotmailcom' | In regular: 0 | In spam: 1
'from', 'right' | In regular: 0 | In spam: 1
'this', 'email' | In regular: 3 | In spam: 0
'false', 'resizefix' | In regular: 0 | In spam: 1
'verse', 'other' | In regular: 0 | In spam: 1
'actor', 'host' | In regular: 0 | In spam: 1
'songs', 'often' | In regular: 0 | In spam: 2
'mechanical', 'engineering' | In regular: 1 | In spam: 0
'projects', 'listed' | In regular: 1 | In spam: 0
'architectures', 'software' | In regular: 1 | In spam: 0
'statement', 'weight' | In regular: 0 | In spam: 1
'teubner', 'katerina' | In regular: 1 | In spam: 0
'explorer', 'considered' | In regular: 0 | In spam: 1
'first', 'pos' | In regular: 0 | In spam: 1
'monthly', 'issues' | In regular: 1 | In spam: 0
'this', 'could' | In regular: 0 | In spam: 1
'changed', 'will' | In regular: 1 | In spam: 0
'distance', 'determined' | In regular: 0 | In spam: 1
'reference', 'terran' | In regular: 0 | In spam: 1
'with', 'you' | In regular: 0 | In spam: 1
'supporters', 'have' | In regular: 0 | In spam: 1
'have', 'notify' | In regular: 1 | In spam: 0
'school', 'weight' | In regular: 0 | In spam: 1
'you', 'find' | In regular: 0 | In spam: 1
'comdex', 'leading' | In regular: 1 | In spam: 0
'tropical', 'elem' | In regular: 0 | In spam: 1
'mbulacuairugnl', 'tue' | In regular: 2 | In spam: 4
'days', 'will' | In regular: 0 | In spam: 1
'text', 'network' | In regular: 0 | In spam: 1
'gets', 'pages' | In regular: 0 | In spam: 1
'write', 'krddartinc' | In regular: 0 | In spam: 1
'search', 'day' | In regular: 0 | In spam: 1
'botany', 'profession' | In regular: 0 | In spam: 1
'asked', 'this' | In regular: 0 | In spam: 1
'mailtotospamaddr', '' | In regular: 1 | In spam: 0
'facedarial', 'sizedin' | In regular: 4 | In spam: 0
'visual', 'fixation' | In regular: 1 | In spam: 0
'factbox', 'opener' | In regular: 0 | In spam: 1
'examinations', 'classes' | In regular: 0 | In spam: 1
'based', 'certain' | In regular: 0 | In spam: 1
'wheels', 'iraq' | In regular: 0 | In spam: 1
'these', 'sites' | In regular: 0 | In spam: 1
'adventure', 'story' | In regular: 0 | In spam: 1
'weight', 'while' | In regular: 0 | In spam: 2
'before', 'seen' | In regular: 0 | In spam: 2
'since', 'layerobject' | In regular: 0 | In spam: 1
'predoctoral', 'position' | In regular: 1 | In spam: 0
'available', 'these' | In regular: 1 | In spam: 0
'vicodin', 'here' | In regular: 0 | In spam: 1
'learn', 'your' | In regular: 1 | In spam: 0
'physiology', 'dept' | In regular: 2 | In spam: 0
'', 'deliveered' | In regular: 0 | In spam: 1
'height', 'netscape' | In regular: 0 | In spam: 1
'quizzes', 'size' | In regular: 0 | In spam: 1
'from', 'vheine' | In regular: 3 | In spam: 0
'else', 'else' | In regular: 0 | In spam: 1
'value', 'ypos' | In regular: 0 | In spam: 1
'like', 'sci' | In regular: 0 | In spam: 1
'exerciseinduced', 'adult' | In regular: 1 | In spam: 0
'edition', 'this' | In regular: 0 | In spam: 1
'shows', 'your' | In regular: 0 | In spam: 1
'logan', 'rees' | In regular: 0 | In spam: 1
'rally', 'joint' | In regular: 0 | In spam: 1
'esmtp', 'hbfkn' | In regular: 1 | In spam: 0
'nonprofit', 'monochrome' | In regular: 0 | In spam: 1
'draws', 'auckland' | In regular: 0 | In spam: 1
'grwth', 'hrmne' | In regular: 0 | In spam: 2
'innerheight', 'sort' | In regular: 0 | In spam: 1
'eaten', 'special' | In regular: 1 | In spam: 0
'color', 'heart' | In regular: 0 | In spam: 1
'ingela', 'hammar' | In regular: 1 | In spam: 0
'aiocoordinator', 'bcn' | In regular: 1 | In spam: 0
'from', 'phd' | In regular: 2 | In spam: 0
'never', 'know' | In regular: 1 | In spam: 0
'this', 'worried' | In regular: 0 | In spam: 1
'nightmare', 'extra' | In regular: 0 | In spam: 1
'have', 'produced' | In regular: 0 | In spam: 1
'university', 'sussex' | In regular: 1 | In spam: 0
'programming', 'such' | In regular: 0 | In spam: 1
'visual', 'gamma' | In regular: 1 | In spam: 0
'into', 'space' | In regular: 2 | In spam: 0
'maybe', 'white' | In regular: 0 | In spam: 1
'desirous', 'document' | In regular: 0 | In spam: 1
'could', 'kindly' | In regular: 1 | In spam: 0
'toadiemdhotmailcom', 'reeneexhotmailcom' | In regular: 0 | In spam: 1
'lesser', 'degree' | In regular: 0 | In spam: 1
'otherwise', 'hesitate' | In regular: 1 | In spam: 0
'december', 'amsterdam' | In regular: 2 | In spam: 0
'coming', 'sundayfirst' | In regular: 1 | In spam: 0
'improved', 'family' | In regular: 0 | In spam: 1
'location', 'declining' | In regular: 0 | In spam: 1
'want', 'health' | In regular: 0 | In spam: 1
'this', 'that' | In regular: 0 | In spam: 1
'netherlands', 'rotterdam' | In regular: 2 | In spam: 0
'reader', 'turn' | In regular: 0 | In spam: 1
'tagname', 'ncaa' | In regular: 0 | In spam: 1
'stone', 'feeds' | In regular: 0 | In spam: 1
'would', 'shallow' | In regular: 0 | In spam: 1
'related', 'troops' | In regular: 0 | In spam: 1
'underwires', 'department' | In regular: 0 | In spam: 1
'papers', 'will' | In regular: 1 | In spam: 0
'speaker', 'gonigle' | In regular: 1 | In spam: 0
'alta', 'hrefautoclassprogramhtml' | In regular: 1 | In spam: 0
'your', 'salary' | In regular: 1 | In spam: 0
'efficacy', 'classifieds' | In regular: 0 | In spam: 1
'clip', 'indexof' | In regular: 0 | In spam: 1
'divid', 'year' | In regular: 0 | In spam: 1
'philliplockhotmailcom', 'noiselokohotmailcom' | In regular: 0 | In spam: 1
'hiaasen', 'innerheight' | In regular: 0 | In spam: 1
'mayor', 'louis' | In regular: 0 | In spam: 1
'series', 'that' | In regular: 1 | In spam: 0
'body', 'guide' | In regular: 0 | In spam: 1
'programs', 'emergence' | In regular: 1 | In spam: 0
'else', 'underline' | In regular: 0 | In spam: 1
'whether', 'demand' | In regular: 0 | In spam: 1
'', 'clickbelowcaps' | In regular: 0 | In spam: 3
'wins', 'weight' | In regular: 0 | In spam: 1
'provide', 'superior' | In regular: 0 | In spam: 7
'directions', 'body' | In regular: 0 | In spam: 1
'advantage', 'array' | In regular: 1 | In spam: 0
'email', 'document' | In regular: 0 | In spam: 1
'sizedchina', 'becomes' | In regular: 1 | In spam: 0
'services', 'prototype' | In regular: 0 | In spam: 1
'ratings', 'said' | In regular: 0 | In spam: 1
'from', 'neurofederatie' | In regular: 1 | In spam: 0
'facedarial', 'sizedyang' | In regular: 3 | In spam: 0
'willecke', 'joseph' | In regular: 1 | In spam: 0
'amsterdam', 'netherlands' | In regular: 2 | In spam: 0
'like', 'alvin' | In regular: 0 | In spam: 1
'ping', 'epxuentuedusg' | In regular: 1 | In spam: 0
'codebook', 'connected' | In regular: 1 | In spam: 0
'adiframe', 'partial' | In regular: 0 | In spam: 1
'over', 'printer' | In regular: 0 | In spam: 1
'late', 'state' | In regular: 0 | In spam: 1
'suppresses', 'sensory' | In regular: 1 | In spam: 0
'alexis', 'evrard' | In regular: 1 | In spam: 0
'function', 'write' | In regular: 0 | In spam: 2
'news', 'were' | In regular: 0 | In spam: 1
'img', 'srcimagesirasbottomsmallgif' | In regular: 1 | In spam: 0
'very', 'happy' | In regular: 2 | In spam: 0
'getinlinetop', 'works' | In regular: 0 | In spam: 1
'cartridges', 'laser' | In regular: 0 | In spam: 2
'know', 'works' | In regular: 0 | In spam: 1
'simply', 'people' | In regular: 0 | In spam: 1
'because', 'else' | In regular: 1 | In spam: 0
'trauma', 'their' | In regular: 0 | In spam: 1
'said', 'swollen' | In regular: 0 | In spam: 1
'memory', 'dynamical' | In regular: 1 | In spam: 0
'form', 'visibility' | In regular: 0 | In spam: 1
'singapore', 'from' | In regular: 1 | In spam: 0
'none', 'panel' | In regular: 0 | In spam: 1
'like', 'shrinking' | In regular: 0 | In spam: 1
'headlines', 'with' | In regular: 0 | In spam: 1
'visibility', 'elem' | In regular: 0 | In spam: 1
'mailadthenetcom', '' | In regular: 0 | In spam: 1
'tropical', 'forests' | In regular: 0 | In spam: 1
'msie', 'apartment' | In regular: 0 | In spam: 1
'plan', 'pachter' | In regular: 0 | In spam: 1
'help', 'homeless' | In regular: 0 | In spam: 1
'this', 'total' | In regular: 1 | In spam: 0
'neurochimie', 'inserm' | In regular: 1 | In spam: 0
'then', 'channel' | In regular: 0 | In spam: 1
'cursor', 'tags' | In regular: 0 | In spam: 1
'webmail', 'cyrusoft' | In regular: 1 | In spam: 0
'like', 'hard' | In regular: 0 | In spam: 1
'ometvaheem', 'told' | In regular: 0 | In spam: 1
'which', 'street' | In regular: 0 | In spam: 1
'merchandising', 'market' | In regular: 0 | In spam: 1
'report', 'shall' | In regular: 0 | In spam: 1
'spent', 'entire' | In regular: 0 | In spam: 1
'want', 'album' | In regular: 0 | In spam: 1
